hgnc_symbol	grouping_id	study_id	description	ensembl_gene_id	ensembl_version	biopsy_tissue	biopsy_cell_selection
BTLA	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000186265	99
CD160	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000117281	99
CD200	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000091972	99
CD244	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000122223	99
CD274	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000120217	99
CEACAM1	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000079385	99
CTLA4	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000163599	99
GP49A	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891		99
HAVCR2	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000135077	99
KLRA3	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891		99
KLRA7	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891		99
KLRA9	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891		99
KLRC1	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000134545	99
KLRD1	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000134539	99
LAG3	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000089692	99
LAIR1	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000167613	99
LILRB4	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000186818	99
PDCD1	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000188389	99
PDPN	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000162493	99
PILRA	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000085514	99
PROCR	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000101000	99
PTGER4	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000171522	99
SIRPB1	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000101307	99
TIGIT	coinhibition_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000181847	99
CD226	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000150637	99
CD27	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000139193	99
CD276	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000103855	99
CD28	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000178562	99
CD40LG	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000102245	99
CD80	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000121594	99
CD86	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000114013	99
ICOS	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000163600	99
TNFRSF18	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000186891	99
TNFRSF4	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000186827	99
TNFRSF9	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000049249	99
TNFSF11	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000120659	99
TNFSF14	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000125735	99
TNFSF4	costimulation_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000117586	99
GNLY	cytotoxicity_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000115523	99
GZMB	cytotoxicity_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000100453	99
GZMK	cytotoxicity_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000113088	99
IFNG	cytotoxicity_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000111537	99
NKG7	cytotoxicity_signature	SmillieCS-31348891	T cell signatures used in SmillieCS-31348891	ENSG00000105374	99
AOAH	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000136250	99
CCL3	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000277632	99
CCL3L3	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000276085	99
CCL4	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000275302	99
CCL4L2	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000276070	99
CCL5	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000271503	99
CD160	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000117281	99
CD8A	CD8_cytotoxic	MartinJC-31474370	T cell module: CD8/cytotoxic	ENSG00000153563	99
